	index	geneId	exon1	exon2	exon3	exon4	exon5	exon6	exon7	exon8
1	2	ENSG00000108788.11	1	1	1	1	1	1	1	1
2	3	ENSG00000108788.11	0	0	0	0	0	0	0	1
3	12	ENSG00000108788.11	1	0	1	1	1	1	1	1
4	13	ENSG00000108788.11	1	1	1	1	1	1	1	1
5	14	ENSG00000108788.11	1	0	1	1	1	0	0	0
6	17	ENSG00000108788.11	1	1	1	1	1	1	1	1
7	20	ENSG00000108788.11	1	0	1	1	1	1	1	1
8	22	ENSG00000108788.11	1	0	1	1	1	1	1	1
9	23	ENSG00000108788.11	1	1	1	1	1	1	1	1
10	24	ENSG00000108788.11	1	1	1	1	1	1	1	1
11	26	ENSG00000108788.11	1	1	1	1	1	1	1	1
12	27	ENSG00000108788.11	1	0	1	1	1	1	1	1
13	30	ENSG00000108788.11	1	0	1	1	1	1	1	1
14	33	ENSG00000108788.11	1	1	0	1	1	1	1	1
15	34	ENSG00000108788.11	1	0	1	1	1	0	0	0
16	35	ENSG00000108788.11	1	1	1	1	1	1	1	1
17	37	ENSG00000108788.11	1	0	1	1	1	1	1	1
18	38	ENSG00000108788.11	1	0	1	1	1	1	1	1
19	39	ENSG00000108788.11	1	1	1	1	1	1	1	1
20	40	ENSG00000108788.11	1	1	1	1	1	1	1	1
21	41	ENSG00000108788.11	1	1	1	1	1	1	1	1
22	42	ENSG00000108788.11	1	1	1	1	1	1	1	1
23	43	ENSG00000108788.11	1	0	1	1	1	1	1	1
24	44	ENSG00000108788.11	1	1	1	1	1	1	0	0
25	45	ENSG00000108788.11	1	1	1	1	1	1	1	0
26	61	ENSG00000108788.11	1	1	1	1	1	1	1	1
27	63	ENSG00000108788.11	1	1	1	1	1	1	1	1
28	64	ENSG00000108788.11	1	0	1	1	1	1	0	0
29	65	ENSG00000108788.11	1	0	1	1	0	1	1	1
30	69	ENSG00000108788.11	1	0	0	0	1	1	1	1
31	70	ENSG00000108788.11	1	0	0	1	1	1	1	1
32	81	ENSG00000108788.11	1	0	1	1	1	1	1	1
33	82	ENSG00000108788.11	1	1	1	1	1	1	1	1
34	84	ENSG00000108788.11	1	0	1	1	1	1	1	1
35	85	ENSG00000108788.11	1	1	1	1	1	1	1	1
36	86	ENSG00000108788.11	1	1	1	1	1	1	1	1
37	89	ENSG00000108788.11	1	1	1	1	1	1	1	0
38	93	ENSG00000108788.11	1	0	1	1	1	0	0	0
39	97	ENSG00000108788.11	1	0	0	1	1	1	1	1
40	98	ENSG00000108788.11	1	1	1	1	1	1	1	1
41	103	ENSG00000108788.11	1	0	0	0	0	0	1	1
42	104	ENSG00000108788.11	1	1	1	0	0	0	0	0
43	108	ENSG00000108788.11	0	1	1	1	1	1	1	1
44	109	ENSG00000108788.11	0	1	1	1	1	1	1	1
45	110	ENSG00000108788.11	0	1	1	1	1	1	1	1
46	111	ENSG00000108788.11	0	1	1	1	1	1	1	1
47	117	ENSG00000108788.11	0	1	1	1	1	1	0	0
48	120	ENSG00000108788.11	0	1	0	1	1	1	1	1
49	124	ENSG00000108788.11	0	0	1	1	1	1	1	1
50	127	ENSG00000108788.11	0	0	1	1	1	1	1	1
51	139	ENSG00000108788.11	0	0	0	1	1	1	1	1
52	141	ENSG00000108788.11	0	0	0	1	1	1	1	1
53	143	ENSG00000108788.11	0	0	0	1	1	1	1	1
54	147	ENSG00000108788.11	0	0	0	1	1	1	1	1
55	150	ENSG00000108788.11	0	0	0	1	1	1	1	1
56	151	ENSG00000108788.11	0	0	0	0	1	1	1	1
57	152	ENSG00000108788.11	0	0	0	0	1	1	1	1
58	153	ENSG00000108788.11	0	0	0	0	1	1	1	1
59	156	ENSG00000108788.11	0	0	0	0	1	1	1	1
60	157	ENSG00000108788.11	0	0	0	0	1	0	0	1
61	166	ENSG00000108788.11	0	0	0	0	0	0	1	1
62	167	ENSG00000108788.11	0	0	0	0	0	0	1	1
63	173	ENSG00000108788.11	0	0	0	0	0	0	1	1
64	176	ENSG00000108788.11	0	0	0	0	0	0	0	1
65	183	ENSG00000108788.11	0	0	0	0	0	0	0	1
66	184	ENSG00000108788.11	0	0	0	0	0	0	0	1
67	199	ENSG00000108788.11	0	0	0	0	0	0	0	1
68	203	ENSG00000108788.11	0	0	0	0	0	0	0	1
69	205	ENSG00000108788.11	0	0	0	0	0	0	0	1
70	207	ENSG00000108788.11	0	0	0	0	0	0	0	1
71	208	ENSG00000108788.11	0	0	0	0	0	0	0	1
72	209	ENSG00000108788.11	0	0	0	0	0	0	0	1
73	210	ENSG00000108788.11	0	0	0	0	0	0	0	1
74	211	ENSG00000108788.11	0	0	0	0	0	0	0	1
75	212	ENSG00000108788.11	0	0	0	0	0	0	0	1
76	213	ENSG00000108788.11	0	0	0	0	0	0	0	1
77	214	ENSG00000108788.11	0	0	0	0	0	0	0	1
78	215	ENSG00000108788.11	0	0	0	0	0	0	0	1
79	216	ENSG00000108788.11	0	0	0	0	0	0	0	1
80	217	ENSG00000108788.11	0	0	0	0	0	0	0	1
81	218	ENSG00000108788.11	0	0	0	0	0	0	0	1
82	219	ENSG00000108788.11	0	0	0	0	0	0	0	1
83	225	ENSG00000108788.11	0	0	0	0	0	0	0	1
84	226	ENSG00000108788.11	0	0	0	0	0	0	0	1
85	227	ENSG00000108788.11	0	0	0	0	0	0	0	1
86	228	ENSG00000108788.11	0	0	0	0	0	0	0	1
87	229	ENSG00000108788.11	0	0	0	0	0	0	0	1
88	230	ENSG00000108788.11	0	0	0	0	0	0	0	1
89	231	ENSG00000108788.11	0	0	0	0	0	0	0	1
90	233	ENSG00000108788.11	0	0	0	0	0	0	0	1
91	234	ENSG00000108788.11	0	0	0	0	0	0	0	1
92	239	ENSG00000108788.11	0	0	0	0	0	0	0	1
93	240	ENSG00000108788.11	0	0	0	0	0	0	0	1
94	243	ENSG00000108788.11	0	0	0	0	0	0	0	1
95	244	ENSG00000108788.11	0	0	0	0	0	0	0	1
96	245	ENSG00000108788.11	0	0	0	0	0	0	0	1
97	246	ENSG00000108788.11	0	0	0	0	0	0	0	1
98	247	ENSG00000108788.11	0	0	0	0	0	0	0	1
99	250	ENSG00000108788.11	0	0	0	0	0	0	0	1
100	252	ENSG00000108788.11	0	0	0	0	0	0	0	1
101	253	ENSG00000108788.11	0	0	0	0	0	0	0	1
102	255	ENSG00000108788.11	0	0	0	0	0	0	0	1
103	256	ENSG00000108788.11	0	0	0	0	0	0	0	1
104	258	ENSG00000108788.11	0	0	0	0	0	0	0	1
105	259	ENSG00000108788.11	0	0	0	0	0	0	0	1
106	263	ENSG00000108788.11	0	0	0	0	0	0	0	1
107	264	ENSG00000108788.11	0	0	0	0	0	0	0	1
108	265	ENSG00000108788.11	0	0	0	0	0	0	0	1
109	267	ENSG00000108788.11	0	0	0	0	0	0	0	1
110	268	ENSG00000108788.11	0	0	0	0	0	0	0	1
111	270	ENSG00000108788.11	0	0	0	0	0	0	0	1
112	273	ENSG00000108788.11	0	0	0	0	0	0	0	1
113	276	ENSG00000108788.11	0	0	0	0	0	0	0	1
114	277	ENSG00000108788.11	0	0	0	0	0	0	0	1
115	278	ENSG00000108788.11	0	0	0	0	0	0	0	1
116	279	ENSG00000108788.11	0	0	0	0	0	0	0	1
117	283	ENSG00000108788.11	0	0	0	0	0	0	0	1
118	284	ENSG00000108788.11	0	0	0	0	0	0	0	1
119	286	ENSG00000108788.11	0	0	0	0	0	0	0	1
120	289	ENSG00000108788.11	0	0	0	0	0	0	0	1
121	290	ENSG00000108788.11	0	0	0	0	0	0	0	1
122	291	ENSG00000108788.11	0	0	0	0	0	0	0	1
123	294	ENSG00000108788.11	0	0	0	0	0	0	0	1
